order_id,customer_id,product_id,quantity,price,order_date
1001,1,P001,2,1500.00,2025-01-15
1002,2,P002,1,3200.00,2025-01-15
1003,3,P003,3,750.00,2025-01-16
1004,1,P002,1,3200.00,2025-01-16
1005,4,P001,5,1500.00,2025-01-17
1006,5,P004,2,890.00,2025-01-17
1007,2,P005,1,4200.00,2025-01-18
1008,6,P003,4,750.00,2025-01-18
1009,3,P001,2,1500.00,2025-01-19
1010,7,P006,1,5600.00,2025-01-19
1011,1,P005,1,4200.00,2025-01-20
1012,8,P002,2,3200.00,2025-01-20
1013,4,P003,3,750.00,2025-01-21
1014,5,P006,1,5600.00,2025-01-21
1015,6,P004,4,890.00,2025-01-22
1016,9,P001,2,1500.00,2025-01-22
1017,7,P007,1,2100.00,2025-01-23
1018,8,P005,2,4200.00,2025-01-23
1019,2,P003,5,750.00,2025-01-24
1020,10,P008,1,9800.00,2025-01-24
1021,3,P006,1,5600.00,2025-01-25
1022,9,P002,3,3200.00,2025-01-25
1023,5,P007,2,2100.00,2025-01-26
1024,1,P008,1,9800.00,2025-01-26
1025,10,P004,3,890.00,2025-01-27
1026,6,P001,4,1500.00,2025-01-27
1027,4,P005,1,4200.00,2025-01-28
1028,7,P008,1,9800.00,2025-01-28
1029,8,P007,3,2100.00,2025-01-29
1030,9,P006,2,5600.00,2025-01-29
1031,2,P004,2,890.00,2025-01-30
1032,10,P003,3,750.00,2025-01-30
1033,3,P007,1,2100.00,2025-01-31
1034,5,P002,2,3200.00,2025-01-31
